shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
7168,23552,6.0,300,16,16,4,10,10,0.9,-890.068566282328,0.1,SUCCESS,1
7680,13312,3.5,1,32,2,8,4,10,0.9,-892.9720389606025,0.1,SUCCESS,1
5632,23552,8.0,100,24,16,4,4,10,0.9,-849.1373269159228,0.1,SUCCESS,1
1536,10240,0.5,200,8,8,8,10,5,0.9,-437.9312095029782,0.1,SUCCESS,1
7168,13312,7.5,300,16,16,8,4,5,0.9,-649.4510687933412,0.1,SUCCESS,1
7168,12288,7.0,1,16,2,4,4,10,0.9,-876.2112296986661,0.1,SUCCESS,1
7168,14336,6.5,1,64,2,8,4,10,0.9,-888.179467545291,0.1,SUCCESS,1
6656,6144,2.0,1,32,16,8,4,10,0.9,-891.1271386066047,0.1,SUCCESS,1
7680,14336,5.5,1,64,2,8,4,10,0.9,-643.024972671183,0.1,SUCCESS,1
6656,19456,7.5,1,16,16,8,10,10,0.9,-889.7727459592796,0.1,SUCCESS,1
6656,13312,7.5,300,16,16,8,10,10,0.9,-894.6388042527143,0.1,SUCCESS,1
7680,14336,4.5,100,20,2,4,10,10,0.9,-837.1524545389663,0.1,SUCCESS,1
7680,14336,8.0,100,64,16,8,4,10,0.9,-890.1632425633875,0.1,SUCCESS,1
8192,6144,4.5,1,4,8,8,10,10,0.9,-0.0,0.1,SUCCESS,1
6656,14336,3.5,200,64,2,8,4,10,0.9,-881.1535758934893,0.1,SUCCESS,1
7680,6144,6.5,200,4,1,8,10,10,0.9,-634.4942443744594,0.1,SUCCESS,1
6144,10240,2.0,100,64,1,8,4,10,0.9,-880.9854305063398,0.1,SUCCESS,1
7680,12288,0.5,100,32,16,8,4,10,0.9,-856.8026570732762,0.1,SUCCESS,1
4608,5120,8.0,1,64,16,8,4,10,0.9,-826.3366407100555,0.1,SUCCESS,1
7168,25600,7.5,300,20,16,8,4,10,0.9,-669.7689973669737,0.1,SUCCESS,1
7168,23552,7.5,300,16,4,8,4,10,0.9,-723.0035768527313,0.1,SUCCESS,1
6144,14336,5.0,1,20,16,8,4,10,0.9,-864.4231839638885,0.1,SUCCESS,1
6144,46080,1.1,1,64,2,8,10,10,0.9,-858.7644657032004,0.1,SUCCESS,1
5632,13312,0.5,1,64,2,8,4,10,0.9,-880.2174622041164,0.1,SUCCESS,1
2560,23552,7.5,200,8,16,4,4,10,0.9,-596.913953364267,0.1,SUCCESS,1
7680,21504,0.5,1,24,2,8,10,10,0.9,-878.71328944014,0.1,SUCCESS,1
7680,12288,6.0,1,32,1,8,4,5,0.9,-533.1763276041871,0.1,SUCCESS,1
6656,14336,2.0,100,64,2,4,10,10,0.9,-633.8877657935435,0.1,SUCCESS,1
7680,12288,1.5,1,64,8,8,10,10,0.9,-871.3514948457073,0.1,SUCCESS,1
3072,10240,1.5,1,64,16,8,4,10,0.9,-662.4476961192826,0.1,SUCCESS,1
5632,13312,2.0,1,64,2,8,10,10,0.9,-858.8354618836923,0.1,SUCCESS,1
5632,15360,6.0,100,24,2,8,4,10,0.9,-870.3808665597647,0.1,SUCCESS,1
7680,35840,2.5,300,24,8,4,4,10,0.9,-531.2682625108467,0.1,SUCCESS,1
